customer_pk,customer_id,customer_name,state,city
147,79,Daniel Mosley,California,Los Angeles
148,79,Daniel Mosley,California,Los Angeles
149,79,Daniel Mosley,California,Los Angeles
150,80,Monica Gibson,Illinois,Springfield
151,80,Monica Gibson,Illinois,Springfield
152,80,Monica Gibson,Illinois,Springfield
153,81,Christopher Jordan,Ohio,Columbus
154,82,Christina Davis,Illinois,Chicago
155,83,Claudia Curry,Texas,Austin
156,82,Christina Davis,Illinois,Chicago
157,83,Claudia Curry,Texas,Austin
158,82,Christina Davis,Illinois,Chicago
159,83,Claudia Curry,Texas,Austin
160,82,Christina Davis,Illinois,Chicago
161,83,Claudia Curry,Texas,Austin
162,84,Brandon Anderson,Texas,Austin
163,85,George Foster,Texas,Dallas
164,86,Nicholas Anderson,Florida,Orlando
165,87,Emily Ellison,California,Los Angeles
166,85,George Foster,Texas,Dallas
167,86,Nicholas Anderson,Florida,Orlando
168,87,Emily Ellison,California,Los Angeles
169,85,George Foster,Texas,Dallas
170,86,Nicholas Anderson,Florida,Orlando
171,87,Emily Ellison,California,Los Angeles
172,88,Darren Perez,Texas,Austin
173,89,Michelle Hunter,Ohio,Cincinnati
174,90,Janet Guerrero,New York,Rochester
175,91,Jeffrey Kline,Florida,Miami
176,92,Ryan Bullock,Florida,Tampa
177,91,Jeffrey Kline,Florida,Miami
178,92,Ryan Bullock,Florida,Tampa
179,93,Tom Lawson,New York,Buffalo
180,94,Rebecca Smith,Texas,Dallas
181,94,Rebecca Smith,Texas,Dallas
182,95,William Welch,Florida,Orlando
183,95,William Welch,Florida,Orlando
184,96,Mr. Curtis Bailey,Florida,Tampa
185,96,Mr. Curtis Bailey,Florida,Tampa
186,97,Janet Carlson,Florida,Miami
187,97,Janet Carlson,Florida,Miami
188,98,Spencer Spears,Illinois,Chicago
189,98,Spencer Spears,Illinois,Chicago
190,99,Jeffrey Middleton,New York,Buffalo
191,100,Veronica Kelley,Florida,Orlando
192,101,Leslie Bean,Illinois,Springfield
193,99,Jeffrey Middleton,New York,Buffalo
194,100,Veronica Kelley,Florida,Orlando
195,101,Leslie Bean,Illinois,Springfield
196,102,Amy Wilson,California,Los Angeles
197,102,Amy Wilson,California,Los Angeles
198,103,Susan Ramirez,Ohio,Cleveland
199,104,Jacob Meyer,Illinois,Peoria
200,104,Jacob Meyer,Illinois,Peoria
201,105,Scott Lewis,Texas,Houston
202,106,Eric Griffith,Illinois,Chicago
203,107,Anna Ferguson,California,San Francisco
204,105,Scott Lewis,Texas,Houston
205,106,Eric Griffith,Illinois,Chicago
206,107,Anna Ferguson,California,San Francisco
207,105,Scott Lewis,Texas,Houston
208,106,Eric Griffith,Illinois,Chicago
209,107,Anna Ferguson,California,San Francisco
210,105,Scott Lewis,Texas,Houston
211,106,Eric Griffith,Illinois,Chicago
212,107,Anna Ferguson,California,San Francisco
213,108,David Figueroa,Florida,Miami
214,109,Theresa Medina,Illinois,Springfield
215,109,Theresa Medina,Illinois,Springfield
216,110,Mary Smith,Florida,Miami
217,111,Lance Cain,Florida,Tampa
218,112,Alexandra Moran,California,San Francisco
219,113,Sara Castro,Illinois,Chicago
220,114,Shawn Leach,Illinois,Peoria
221,115,Mark Boyle,New York,Buffalo
222,116,John Stevens,California,San Francisco
223,117,Lisa Graham,Illinois,Peoria
224,118,Nancy Jones,Ohio,Cleveland
225,118,Nancy Jones,Ohio,Cleveland
226,118,Nancy Jones,Ohio,Cleveland
227,119,Darryl Robbins,Illinois,Peoria
228,120,Kimberly Smith,Illinois,Springfield
229,120,Kimberly Smith,Illinois,Springfield
230,121,Maria Thomas,Florida,Miami
231,122,Nicholas Johnson,Texas,Dallas
232,121,Maria Thomas,Florida,Miami
233,122,Nicholas Johnson,Texas,Dallas
234,123,Dawn Howard,Texas,Houston
235,123,Dawn Howard,Texas,Houston
236,123,Dawn Howard,Texas,Houston
237,124,Jennifer Marshall,California,San Francisco
238,125,Frank Garcia,New York,Buffalo
239,126,Terri Madden,New York,Rochester
240,126,Terri Madden,New York,Rochester
241,127,James Gutierrez,New York,Rochester
242,127,James Gutierrez,New York,Rochester
243,128,Morgan Sellers,California,Los Angeles
244,128,Morgan Sellers,California,Los Angeles
245,129,Caitlin Thomas,New York,New York City
246,130,Kimberly Greene,Florida,Orlando
247,131,Tammy Anthony,Ohio,Cleveland
248,132,Jennifer Chase,New York,Buffalo
249,133,Cassandra Farley,Florida,Orlando
250,131,Tammy Anthony,Ohio,Cleveland
251,132,Jennifer Chase,New York,Buffalo
252,133,Cassandra Farley,Florida,Orlando
253,134,Justin Vasquez,Texas,Houston
254,135,Melissa Morales,Texas,Houston
255,136,Tyler Thompson,Texas,Dallas
256,137,Heidi Davis,New York,Buffalo
257,137,Heidi Davis,New York,Buffalo
258,138,Charles Lane,Texas,Dallas
259,139,Joyce Good MD,Florida,Miami
260,140,Maria Miller,New York,Buffalo
261,141,Terry Mcdaniel,Ohio,Cincinnati
262,142,Lisa Jacobs,New York,Buffalo
263,143,Jeff Duncan,Ohio,Cincinnati
264,144,Pamela Jones,New York,New York City
265,145,Renee Robinson,Ohio,Columbus
266,145,Renee Robinson,Ohio,Columbus
267,146,Jessica Kidd,New York,Buffalo
268,147,Nicholas Martin,Florida,Tampa
269,146,Jessica Kidd,New York,Buffalo
270,147,Nicholas Martin,Florida,Tampa
271,146,Jessica Kidd,New York,Buffalo
272,147,Nicholas Martin,Florida,Tampa
273,148,David Brown,Illinois,Peoria
274,149,Amber Moore,New York,New York City
275,149,Amber Moore,New York,New York City
276,150,James Williams,California,San Francisco
277,151,Karina Barr,Texas,Dallas
278,151,Karina Barr,Texas,Dallas
279,152,Meghan Rush,Ohio,Cleveland
280,153,Bianca Brown,Ohio,Columbus
281,153,Bianca Brown,Ohio,Columbus
282,154,Timothy Jensen,Florida,Orlando
283,154,Timothy Jensen,Florida,Orlando
284,155,Melinda Montoya,California,San Francisco
285,155,Melinda Montoya,California,San Francisco
286,156,Tammy Bell,Ohio,Cincinnati
287,156,Tammy Bell,Ohio,Cincinnati
288,156,Tammy Bell,Ohio,Cincinnati
289,157,Connie Richards,Ohio,Cleveland
290,158,Peter Ward,New York,Rochester
291,157,Connie Richards,Ohio,Cleveland
292,158,Peter Ward,New York,Rochester
293,159,Jonathan Alvarez,Ohio,Columbus
294,160,Becky Hodges,Texas,Houston
295,159,Jonathan Alvarez,Ohio,Columbus
296,160,Becky Hodges,Texas,Houston
297,161,Larry Hill,New York,New York City
298,162,Amber Moon,Ohio,Cleveland
299,161,Larry Hill,New York,New York City
300,162,Amber Moon,Ohio,Cleveland
301,163,Cynthia Wilcox,Illinois,Chicago
302,163,Cynthia Wilcox,Illinois,Chicago
303,164,Rebecca Wright,New York,Rochester
304,165,Sarah Flores,Illinois,Springfield
305,164,Rebecca Wright,New York,Rochester
306,165,Sarah Flores,Illinois,Springfield
307,166,Carol Norman,New York,Rochester
308,167,Stephanie Gardner,California,San Diego
309,168,Philip Baker,Illinois,Peoria
310,169,Randall Dennis,Florida,Orlando
311,170,Suzanne Cross,Texas,Austin
312,170,Suzanne Cross,Texas,Austin
313,170,Suzanne Cross,Texas,Austin
314,171,Jasmine Delgado,Illinois,Chicago
315,172,Kristen Harper,New York,Buffalo
316,171,Jasmine Delgado,Illinois,Chicago
317,172,Kristen Harper,New York,Buffalo
318,173,Kaitlyn Graham MD,New York,New York City
319,174,Dean Avila,Ohio,Cincinnati
320,174,Dean Avila,Ohio,Cincinnati
321,174,Dean Avila,Ohio,Cincinnati
322,175,Megan Mack,Texas,Austin
323,175,Megan Mack,Texas,Austin
324,176,Heather Johnson,California,Los Angeles
325,177,Tina Davies,Illinois,Chicago
326,178,Matthew Harris,Texas,Dallas
327,178,Matthew Harris,Texas,Dallas
328,179,Christopher Kirk,Florida,Miami
329,180,Eric Stevens,Florida,Miami
330,179,Christopher Kirk,Florida,Miami
331,180,Eric Stevens,Florida,Miami
332,181,James Dickerson,Texas,Houston
333,182,James Jones,Texas,Dallas
334,183,Hannah Hendricks,Ohio,Cleveland
335,184,Brett Mullins,Florida,Orlando
336,185,Ms. Kim Jordan,Illinois,Chicago
337,186,Marcus Santiago,New York,Buffalo
338,186,Marcus Santiago,New York,Buffalo
339,186,Marcus Santiago,New York,Buffalo
340,187,Jill Perez,California,San Diego
341,187,Jill Perez,California,San Diego
342,187,Jill Perez,California,San Diego
343,188,Courtney Williams,Ohio,Columbus
344,189,Jordan Hahn,New York,Rochester
345,190,William Cook,Ohio,Cleveland
346,191,Stephanie Hayes,Texas,Austin
347,191,Stephanie Hayes,Texas,Austin
348,192,Melissa Wise,Ohio,Columbus
349,193,Elizabeth Gonzalez,California,San Diego
350,193,Elizabeth Gonzalez,California,San Diego
351,193,Elizabeth Gonzalez,California,San Diego
352,194,Mr. Eric Lopez,New York,Buffalo
353,195,Benjamin Higgins,New York,Rochester
354,195,Benjamin Higgins,New York,Rochester
355,196,Brett Sutton,Texas,Austin
356,197,Anna Blackburn,Ohio,Cincinnati
357,198,Michelle Bailey,Texas,Dallas
358,196,Brett Sutton,Texas,Austin
359,197,Anna Blackburn,Ohio,Cincinnati
360,198,Michelle Bailey,Texas,Dallas
361,196,Brett Sutton,Texas,Austin
362,197,Anna Blackburn,Ohio,Cincinnati
363,198,Michelle Bailey,Texas,Dallas
364,196,Brett Sutton,Texas,Austin
365,197,Anna Blackburn,Ohio,Cincinnati
366,198,Michelle Bailey,Texas,Dallas
367,199,Sara Peterson,Illinois,Chicago
368,200,Katherine Williams,Florida,Orlando
369,200,Katherine Williams,Florida,Orlando
370,200,Katherine Williams,Florida,Orlando
371,201,Cory Evans,Florida,Orlando
372,201,Cory Evans,Florida,Orlando
373,201,Cory Evans,Florida,Orlando
374,201,Cory Evans,Florida,Orlando
375,202,Michael Rodriguez,Ohio,Cincinnati
376,202,Michael Rodriguez,Ohio,Cincinnati
377,203,John Munoz,Texas,Dallas
378,204,David Clark,Florida,Tampa
379,205,April Welch,Illinois,Springfield
380,205,April Welch,Illinois,Springfield
381,206,Alan Livingston,Illinois,Peoria
382,207,Angela Jackson,Texas,Dallas
383,208,Amy Williams,Texas,Austin
384,209,Laura Jordan,Texas,Dallas
385,210,Richard Maynard,Ohio,Cincinnati
386,211,Lawrence Oliver,Illinois,Springfield
387,212,Anthony Williams,New York,Rochester
388,212,Anthony Williams,New York,Rochester
389,213,Lynn Matthews,Texas,Dallas
390,214,Andrew Griffin,Illinois,Chicago
391,214,Andrew Griffin,Illinois,Chicago
392,214,Andrew Griffin,Illinois,Chicago
393,215,Megan Williams,Illinois,Chicago
394,216,Alison Martin,New York,Buffalo
395,217,Samuel Wallace,California,San Francisco
396,218,Manuel Stark,Illinois,Springfield
397,219,William Villarreal,Florida,Orlando
398,220,Brandon Kirk,Ohio,Cleveland
399,221,Abigail Brown,California,Los Angeles
400,222,Kristine Carter,Texas,Houston
401,223,Wesley Deleon,Illinois,Springfield
402,223,Wesley Deleon,Illinois,Springfield
403,224,Laura Cole,Florida,Tampa
404,225,Lauren Harris,Ohio,Cleveland
405,225,Lauren Harris,Ohio,Cleveland
406,225,Lauren Harris,Ohio,Cleveland
407,226,Cameron Miller,Illinois,Chicago
408,227,Jacob Carpenter,New York,Buffalo
409,228,Pamela Callahan DVM,Ohio,Columbus
410,229,William Ruiz,Florida,Miami
411,230,Paula Marshall,Texas,Dallas
412,231,Natalie Cox,Florida,Orlando
413,232,Andrew Fernandez,Ohio,Cincinnati
414,232,Andrew Fernandez,Ohio,Cincinnati
415,232,Andrew Fernandez,Ohio,Cincinnati
416,233,Alisha Saunders,California,San Francisco
417,234,Travis Chandler DDS,New York,Rochester
418,235,Russell Austin,New York,New York City
419,236,Collin Cameron,California,San Francisco
420,237,Elizabeth Hernandez,Florida,Orlando
421,238,William Russell,Texas,Austin
422,239,Sheri Berg,California,Los Angeles
423,238,William Russell,Texas,Austin
424,239,Sheri Berg,California,Los Angeles
425,240,Anthony Barnett,Illinois,Peoria
426,241,Kaitlyn Flores,Ohio,Cleveland
427,242,Rebecca Owen,Illinois,Springfield
428,243,Michael Bell,California,San Diego
429,243,Michael Bell,California,San Diego
430,244,Willie Huynh,New York,Buffalo
431,244,Willie Huynh,New York,Buffalo
432,245,Samuel Hayes,Illinois,Peoria
433,245,Samuel Hayes,Illinois,Peoria
434,246,Sherry Tran,New York,Buffalo
435,246,Sherry Tran,New York,Buffalo
436,246,Sherry Tran,New York,Buffalo
437,247,Heather Gray,Ohio,Cincinnati
438,248,Benjamin Meadows,Illinois,Peoria
439,249,Micheal Graham,New York,Buffalo
440,248,Benjamin Meadows,Illinois,Peoria
441,249,Micheal Graham,New York,Buffalo
442,248,Benjamin Meadows,Illinois,Peoria
443,249,Micheal Graham,New York,Buffalo
444,250,Jean Jackson,California,San Francisco
445,250,Jean Jackson,California,San Francisco
446,250,Jean Jackson,California,San Francisco
447,250,Jean Jackson,California,San Francisco
448,251,Timothy Murphy,California,San Francisco
449,251,Timothy Murphy,California,San Francisco
450,252,Mrs. Jennifer Lewis,California,San Francisco
451,252,Mrs. Jennifer Lewis,California,San Francisco
452,252,Mrs. Jennifer Lewis,California,San Francisco
453,253,Bryan Brown,New York,Rochester
454,254,Christopher Johnson,Florida,Miami
455,255,Christina Conner,Ohio,Columbus
456,256,Luis Luna,California,San Francisco
457,255,Christina Conner,Ohio,Columbus
458,256,Luis Luna,California,San Francisco
459,255,Christina Conner,Ohio,Columbus
460,256,Luis Luna,California,San Francisco
461,257,Julie Chavez,Ohio,Cincinnati
462,258,Richard Blair,Florida,Miami
463,258,Richard Blair,Florida,Miami
464,258,Richard Blair,Florida,Miami
465,259,Mitchell Lester,Illinois,Chicago
466,260,Mr. John Tyler PhD,Texas,Houston
467,261,Juan Kelly,Florida,Miami
468,259,Mitchell Lester,Illinois,Chicago
469,260,Mr. John Tyler PhD,Texas,Houston
470,261,Juan Kelly,Florida,Miami
471,262,Morgan Mccarthy,Texas,Dallas
472,263,Morgan Sullivan,Texas,Houston
473,264,Eric Clark,Florida,Orlando
474,264,Eric Clark,Florida,Orlando
475,265,Mark Padilla,California,San Diego
476,266,Anthony Lane,Ohio,Cleveland
477,267,Jeffrey Henderson,Florida,Tampa
478,268,Michelle Hardy,Texas,Dallas
479,267,Jeffrey Henderson,Florida,Tampa
480,268,Michelle Hardy,Texas,Dallas
481,269,Ms. Barbara Cervantes,New York,Rochester
482,269,Ms. Barbara Cervantes,New York,Rochester
483,270,Steven Proctor,Texas,Austin
484,271,Shannon Patterson,Illinois,Springfield
485,272,William Valdez,California,San Diego
486,272,William Valdez,California,San Diego
487,272,William Valdez,California,San Diego
488,273,Laura Yu,Texas,Houston
489,274,Jonathan Mcmillan,New York,Buffalo
490,274,Jonathan Mcmillan,New York,Buffalo
491,275,Austin Davis,California,San Diego
492,276,Mark Roy,California,San Francisco
493,275,Austin Davis,California,San Diego
494,276,Mark Roy,California,San Francisco
495,277,Jillian Williams,California,San Diego
496,278,Rebekah Carter,Florida,Orlando
497,279,Jonathan Reed,California,San Francisco
498,277,Jillian Williams,California,San Diego
499,278,Rebekah Carter,Florida,Orlando
500,279,Jonathan Reed,California,San Francisco
501,280,Roger Harris,Illinois,Springfield
502,280,Roger Harris,Illinois,Springfield
503,280,Roger Harris,Illinois,Springfield
504,281,Louis Jimenez,Florida,Tampa
505,282,Jessica Jones,Illinois,Peoria
506,283,Renee Gomez,Florida,Miami
507,284,Connie Olson,Texas,Houston
508,281,Louis Jimenez,Florida,Tampa
509,282,Jessica Jones,Illinois,Peoria
510,283,Renee Gomez,Florida,Miami
511,284,Connie Olson,Texas,Houston
512,285,Christian Jones,New York,Buffalo
513,286,Matthew Kelley,Florida,Orlando
514,287,Candace Martinez,Florida,Tampa
515,288,Jacob Mann,Texas,Austin
516,289,Keith Reese,Texas,Austin
517,290,Aaron Jones,Texas,Austin
518,290,Aaron Jones,Texas,Austin
519,291,Christopher Brooks,Illinois,Peoria
520,292,Charles Moore,Florida,Miami
521,292,Charles Moore,Florida,Miami
522,293,Manuel Walls,Texas,Houston
523,294,Darren Moore,Illinois,Peoria
524,295,Stephanie Thomas,New York,Rochester
525,296,Kristy Hernandez,California,San Diego
526,294,Darren Moore,Illinois,Peoria
527,295,Stephanie Thomas,New York,Rochester
528,296,Kristy Hernandez,California,San Diego
529,297,Randy Johnson,Ohio,Columbus
530,297,Randy Johnson,Ohio,Columbus
531,297,Randy Johnson,Ohio,Columbus
532,298,James Benitez,Florida,Miami
533,299,Donald York,New York,Buffalo
534,300,Tiffany Parker,Texas,Houston
535,299,Donald York,New York,Buffalo
536,300,Tiffany Parker,Texas,Houston
537,301,Melissa Mcknight,California,Los Angeles
538,301,Melissa Mcknight,California,Los Angeles
539,301,Melissa Mcknight,California,Los Angeles
540,302,Mr. Jack Mercado,Ohio,Cincinnati
541,285,Christian Jones,New York,Rochester
542,303,Rachel Fisher,Illinois,Peoria
543,304,Donald Moore,New York,Rochester
544,305,William Wu,Florida,Tampa
545,306,Jesus Zuniga,Texas,Houston
546,307,Michael Gallegos,California,Los Angeles
547,308,Robert Daniels,Illinois,Chicago
548,307,Michael Gallegos,California,Los Angeles
549,308,Robert Daniels,Illinois,Chicago
550,309,Jill Jones,New York,New York City
551,309,Jill Jones,New York,New York City
552,310,Elizabeth Miller,Illinois,Springfield
553,311,Sabrina Clark,California,Los Angeles
554,312,Larry Casey,Illinois,Chicago
555,313,Daniel Burns,New York,Rochester
556,314,James Tanner,Texas,Houston
557,315,Leonard Gonzalez,California,San Francisco
558,316,Richard Lee,New York,Buffalo
559,317,Matthew Schroeder,Ohio,Cleveland
560,315,Leonard Gonzalez,California,San Francisco
561,316,Richard Lee,New York,Buffalo
562,317,Matthew Schroeder,Ohio,Cleveland
563,318,Marcus Flores,California,Los Angeles
564,319,Tonya Long,Florida,Miami
565,320,Michael Chambers,California,Los Angeles
566,321,Kaylee Glover,Illinois,Springfield
567,322,Pamela Patterson,California,San Francisco
568,321,Kaylee Glover,Illinois,Springfield
569,322,Pamela Patterson,California,San Francisco
570,321,Kaylee Glover,Illinois,Springfield
571,322,Pamela Patterson,California,San Francisco
572,323,Ronald Mckinney,Texas,Austin
573,324,James Hart,Illinois,Chicago
574,323,Ronald Mckinney,Texas,Austin
575,324,James Hart,Illinois,Chicago
576,325,Rhonda Harris,Florida,Orlando
577,326,Randy Fisher,Texas,Houston
578,327,James Hernandez,California,San Francisco
579,327,James Hernandez,California,San Francisco
580,328,Brenda Murphy,California,San Francisco
581,328,Brenda Murphy,California,San Francisco
582,328,Brenda Murphy,California,San Francisco
583,329,Andrew Kirby,California,San Diego
584,330,Justin Thomas,California,San Francisco
585,331,Jillian Johnson MD,California,San Diego
586,332,William Martin,Ohio,Columbus
587,333,Mark Dixon,Ohio,Cincinnati
588,333,Mark Dixon,Ohio,Cincinnati
589,333,Mark Dixon,Ohio,Cincinnati
590,334,Alicia Allen,Texas,Dallas
591,335,Cynthia Meyer,Florida,Tampa
592,336,Brandon Norton,Illinois,Springfield
593,337,Christina Scott,Florida,Tampa
594,338,Andrew Macias,Texas,Austin
595,339,Alejandro Williams,Illinois,Springfield
596,340,Mark Rodriguez,New York,New York City
597,341,Sarah Montgomery,Illinois,Chicago
598,342,Marisa Prince,New York,Buffalo
599,343,James Bonilla,California,San Diego
600,344,Robin Myers,Texas,Dallas
601,345,Nancy Sanchez,Illinois,Springfield
602,346,Sydney Walls,Illinois,Chicago
603,345,Nancy Sanchez,Illinois,Springfield
604,346,Sydney Walls,Illinois,Chicago
605,347,Deborah Hoffman,Florida,Miami
606,347,Deborah Hoffman,Florida,Miami
607,215,Megan Williams,Texas,Dallas
608,215,Megan Williams,Texas,Dallas
609,348,Shane Clark,California,San Diego
610,349,Steven Haynes,Illinois,Springfield
611,350,Kimberly Fuller,New York,Buffalo
612,351,Angela Lyons,New York,New York City
613,351,Angela Lyons,New York,New York City
614,352,Betty Tucker,Ohio,Cincinnati
615,353,Brianna Hunt,Florida,Miami
616,354,Cathy Clark,Florida,Tampa
617,355,Nicole Warren,California,Los Angeles
618,356,Richard Castaneda,Ohio,Cleveland
619,357,Sarah Torres,California,San Diego
620,356,Richard Castaneda,Ohio,Cleveland
621,357,Sarah Torres,California,San Diego
622,358,Vanessa Deleon,Florida,Tampa
623,359,Richard Lyons,Texas,Dallas
624,360,Eric Adams,Illinois,Springfield
625,361,Chad Brown,Florida,Orlando
626,362,Kayla Becker,California,Los Angeles
627,363,Ashley Freeman,Florida,Tampa
628,364,Scott Harris,California,Los Angeles
629,365,John James,Ohio,Columbus
630,366,Jesse Bond,Illinois,Springfield
631,367,Brandon Hughes,Texas,Dallas
632,368,Lynn Reynolds,Ohio,Cincinnati
633,367,Brandon Hughes,Texas,Dallas
634,368,Lynn Reynolds,Ohio,Cincinnati
635,369,Ronald Good,Florida,Miami
636,370,Kyle Baker,Texas,Houston
637,370,Kyle Baker,Texas,Houston
638,371,Michael Rivera,California,Los Angeles
639,371,Michael Rivera,California,Los Angeles
640,372,Lori Adkins,California,San Diego
641,372,Lori Adkins,California,San Diego
642,373,Luis Warner,New York,New York City
643,374,Donald Perry,Florida,Orlando
644,374,Donald Perry,Florida,Orlando
645,375,Adam Stevens,New York,Buffalo
646,376,Kimberly Johnson,New York,Buffalo
647,377,Kelly Jones,New York,Rochester
648,376,Kimberly Johnson,New York,Buffalo
649,377,Kelly Jones,New York,Rochester
650,378,Ashley Petty,Illinois,Peoria
651,379,Crystal Ross,Texas,Austin
652,380,Alexis Duffy,California,Los Angeles
653,381,Stephanie Sanchez,Florida,Miami
654,382,Reginald Espinoza,Ohio,Cleveland
655,383,Sandra Hicks,California,San Diego
